,video_id,commenter_channel_url,commenter_channel_id,commenter_channel_display_name,comment_id,comment_like_count,comment_publish_date,text,commenter_rating,comment_parent_id,collection_date,reply_count
1553,D2AjToBel_Y,http://www.youtube.com/channel/UCSm0pZDrD33JGdbiuU3ll7g,UCSm0pZDrD33JGdbiuU3ll7g,Rasitha Senevirathne,UgzwQ_AlsaZ0mzHmLuF4AaABAg,0,1609629520.0,"the only good thing about this movie was the modern arts diss with the trash can. Even that was meh at best.
This was so bad. The pacing was so bad. the plot was bad. 
The race thing at first was nice but the ""Karen"" at the end saying she couldn't win cos she cheated without checking first, bs. 
the mall sequence was so bad with the music just not matching at all.(also smashing up the cameras after the fact doesn't erase the footage)
They learn that the guy is going to Cairo, but hey lets have a slow sequence where we fly through fireworks(in a highly combustible jet btw), wow only if you didn't waste time having a nice fly by and cause the apocalypse.  
she has to go to the satellite broadcast center really fast, but lets have another slow sequence where she learns to fly(and she spider mans(I don't know how else to say it) off of lightning????). 
bam she's got armor somehow when she lands!(the continuity with the costumes is really bad).
The rope physics is abysmal. so is her hair when she's flying. looks like a 80s movie(lives up to the title I guess).
the CGI was soooooo bad, I've seen YouTube shorts better than this.
the cheetah woman was soooo bad(how did she get a second wish? didn't he just go off on his son for wasting his only wish?????). 
the particles touching mumbo jumbo was so BS(typical first graders know better science than these writers). 

Also the ""whole world"" renouncing their wishes is so Bull shiiiiiiiiitttttt. I play online competitive games, and I know how hard it is to get ""5""(I wish I had capital numbers) people to to do something, let alone the whole population of the world.  

concentrated bull shit. how to kill a franchise 101. I loved the first movie. This shit was just... shit.",none,,2021-03-09 19:53:40.569572,0
1554,D2AjToBel_Y,http://www.youtube.com/channel/UC4RrE5U-hoB5jx3p5KPqMgA,UC4RrE5U-hoB5jx3p5KPqMgA,Do me,Ugx0VP0Y9h6Q30Dljsl4AaABAg,0,1609629058.0,What a shitty movie,none,,2021-03-09 19:53:40.569592,0
1555,D2AjToBel_Y,http://www.youtube.com/channel/UC8IW30_4vzpVLjhDZrD2LCw,UC8IW30_4vzpVLjhDZrD2LCw,Terran B,Ugy6TTcYs4q-qjiav0J4AaABAg,1,1609628820.0,I hated it too so don't feel bad.,none,,2021-03-09 19:53:40.569613,0
1556,D2AjToBel_Y,http://www.youtube.com/channel/UCD8jxlz2gsiCZpYU8ZrhFVA,UCD8jxlz2gsiCZpYU8ZrhFVA,Salud 74,Ugx-iWByZi1beRJPIHZ4AaABAg,1,1609628680.0,I think its kind of stupid an 8 Year old takes on grown ups in the beginning...,none,,2021-03-09 19:53:40.569633,0
1557,D2AjToBel_Y,http://www.youtube.com/channel/UCh_onXic78amf6Dg-xosNeA,UCh_onXic78amf6Dg-xosNeA,Reds Maroon,Ugx37APpaDhJ6RE3qqF4AaABAg,0,1609628538.0,No offense... WW 84 have  the dumbest storyline and worse fighting scene  than the first WW movie,none,,2021-03-09 19:53:40.569654,0
1558,D2AjToBel_Y,http://www.youtube.com/channel/UCX-1PAGM7OIqhP5jcXM6J6w,UCX-1PAGM7OIqhP5jcXM6J6w,Maxime Dumoussaud,UgzX8iDfinc4YvMtcN94AaABAg,1,1609627833.0,"As it is, WW84 feels more like the story of Pedro Pascal starring in an oddly interesting mix between Bruce Almighty and the Sum of All Fears ... crammed together with almost unrelated action sequences from a CW show.",none,,2021-03-09 19:53:40.569674,1
1559,D2AjToBel_Y,http://www.youtube.com/channel/UC7vWUQ8XRYjJEYXuM4lm4LA,UC7vWUQ8XRYjJEYXuM4lm4LA,OMAR S,Ugx-oRSorynKMD7iwzl4AaABAg,0,1609627656.0,3k bots disliked this video! No way in hell 3K real freaking humans liked this movie 🤯,none,,2021-03-09 19:53:40.569695,0
1560,D2AjToBel_Y,http://www.youtube.com/channel/UCtsScwi7A_DLbzC1y7FKctg,UCtsScwi7A_DLbzC1y7FKctg,Mr. J H,Ugy6T9um3WWOagKuCwh4AaABAg,0,1609626976.0,Your HONESTY IS PRICELESS please forward your review to the star of the movie I wonder what she would say just curious if she has integrity or if she is just a fake and only interested in the money????????,none,,2021-03-09 19:53:40.569714,0
1561,D2AjToBel_Y,http://www.youtube.com/channel/UCEjEgRZsw5ltGz9bS3fpt1A,UCEjEgRZsw5ltGz9bS3fpt1A,Are Gee Gee,Ugw049qOzIQf2jif7sx4AaABAg,0,1609626242.0,I think this movie was much better than the first one. . Whatever u say guys,none,,2021-03-09 19:53:40.569735,0
1562,D2AjToBel_Y,http://www.youtube.com/channel/UCv84_3yjhEDat0AsauWg5MA,UCv84_3yjhEDat0AsauWg5MA,Asa-Punk aka Åsa-Punk at Vinland Suður,UgyqF8YRtD2982XZ62h4AaABAg,0,1609624836.0,In the mall scene as Wonder woman is swinging across with her lasso of Truth it occurred to me I'm not certain but it looks like that's the same all that Arnold Schwarzenegger swung across in Commando,none,,2021-03-09 19:53:40.569756,0
1563,D2AjToBel_Y,http://www.youtube.com/channel/UCMcHgigDzxo2aUvhsu0Hq5Q,UCMcHgigDzxo2aUvhsu0Hq5Q,Diestro Corleone,UgwUKEnvLdWAYOsW9np4AaABAg,0,1609624833.0,"Just finished watching the movie. Oh, boy... I truly thin this was an unused script for Supergirl 2.",none,,2021-03-09 19:53:40.569782,0
1564,D2AjToBel_Y,http://www.youtube.com/channel/UCTVrcm3x0ZtsOmtzp9ZAfqQ,UCTVrcm3x0ZtsOmtzp9ZAfqQ,K G,UgxKXNvP71PXses5wCV4AaABAg,0,1609624702.0,Another DC F up,none,,2021-03-09 19:53:40.569803,1
1565,D2AjToBel_Y,http://www.youtube.com/channel/UCs7GNnDdjpcWZNMPUSxooOw,UCs7GNnDdjpcWZNMPUSxooOw,JRebecca,Ugwwj08ebr9lCo-6oOB4AaABAg,0,1609624025.0,"I agree with your review 100%! This movie was a bloated, unnecessary mess. 😕",none,,2021-03-09 19:53:40.569823,0
1566,D2AjToBel_Y,http://www.youtube.com/channel/UCIVtab4RNmKYwmHJvoHMJqw,UCIVtab4RNmKYwmHJvoHMJqw,Aaron Jaggan,Ugzp4sRpSkNpemWLy414AaABAg,0,1609623120.0,The boot comes outa nowhere....😂,none,,2021-03-09 19:53:40.569843,0
